	"names"	"clusters"
"820"	"FADS6"	12
"821"	"FAM101A"	18
"822"	"FAM105A"	15
"823"	"FAM107B"	18
"824"	"FAM110A"	16
"825"	"FAM110B"	12
"826"	"FAM114A2"	16
"827"	"FAM127B"	16
"828"	"FAM132A"	9
"829"	"FAM151A"	15
"830"	"FAM162A"	10
"831"	"FAM162B"	6
"832"	"FAM177A1"	9
"833"	"FAM184B"	1
"834"	"FAM198B"	10
"835"	"FAM20A"	12
"836"	"FAM20C"	2
"837"	"FAM210B"	15
"838"	"FAM212B"	19
"839"	"FAM213A"	15
"840"	"FAM215B"	2
"841"	"FAM217B"	4
"842"	"FAM229B"	14
"843"	"FAM234A"	10
"844"	"FAM32A"	10
"845"	"FAM35A"	16
"846"	"FAM3B"	13
"847"	"FAM3C"	9
"848"	"FAM45A"	10
"849"	"FAM50B"	18
"850"	"FAM53C"	20
"851"	"FAM63B"	10
"852"	"FAM64A"	16
"853"	"FAM84A"	20
"854"	"FAR1"	10
"855"	"FAR2"	19
"856"	"FBLN1"	10
"857"	"FBLN5"	19
"858"	"FBN2"	19
"859"	"FBP1"	18
"860"	"FBXO2"	18
"861"	"FBXO44"	9
"862"	"FCER1G"	1
"863"	"FCGBP"	5
"864"	"FCGRT"	6
"865"	"FDFT1"	15
"866"	"FDPS"	10
"867"	"FERMT2"	4
"868"	"FERMT3"	6
"869"	"FES"	1
"870"	"FEV"	1
"871"	"FGA"	2
"872"	"FGB"	6
"873"	"FGD5_AS1"	1
"874"	"FGF23"	15
"875"	"FGF9"	14
"876"	"FGFBP3"	16
"877"	"FGFR2"	10
"878"	"FGFRL1"	9
"879"	"FGG"	13
"880"	"FHIT"	9
"881"	"FIBIN"	16
"882"	"FIGN"	6
"883"	"FILIP1L"	20
"884"	"FKBP10"	14
"885"	"FKBP11"	15
"886"	"FKBP1A"	16
"887"	"FKBP4"	1
"888"	"FKBP5"	19
"889"	"FKBP9"	14
"890"	"FLJ37453"	19
"891"	"FLNA"	2
"892"	"FLNB"	2
"893"	"FLRT3"	1
"894"	"FLYWCH2"	15
"895"	"FMOD"	18
"896"	"FN1"	10
"897"	"FNDC1"	19
"898"	"FNIP1"	6
"899"	"FNIP2"	6
"900"	"FNTB"	16
"901"	"FOLH1"	18
"902"	"FOS"	10
"903"	"FOSB"	6
"904"	"FOXA2"	6
"905"	"FOXO3"	10
"906"	"FOXP1"	19
"907"	"FOXP2"	8
"908"	"FRAT2"	6
"909"	"FRG1"	19
"910"	"FRMD6"	10
"911"	"FRRS1L"	6
"912"	"FRS2"	19
"913"	"FRZB"	18
"914"	"FSCN1"	15
"915"	"FSTL1"	20
"916"	"FTCD"	18
"917"	"FTX"	19
"918"	"FUCA1"	9
"919"	"FUCA2"	16
"920"	"FUT11"	8
"921"	"FUT2"	9
"922"	"FXYD1"	16
"923"	"FXYD3"	18
"924"	"FXYD5"	10
"925"	"FXYD6"	17
"926"	"FYN"	18
"927"	"FZD2"	10
"928"	"FZD5"	18
"929"	"G0S2"	1
"930"	"G3BP2"	4
"931"	"GABPB1_AS1"	15
"932"	"GAL"	6
"933"	"GALE"	9
"934"	"GALM"	9
"935"	"GALNT1"	16
"936"	"GALNT6"	15
"937"	"GALNT7"	19
"938"	"GALT"	9
"939"	"GAMT"	17
