	"names"	"clusters"
"790"	"FOXD3_AS1"	13
"791"	"FOXF1"	14
"792"	"FOXF2"	2
"793"	"FOXK1"	16
"794"	"FOXP1"	2
"795"	"FOXP2"	11
"796"	"FOXP4"	1
"797"	"FRAS1"	2
"798"	"FREM1"	4
"799"	"FRG1"	7
"800"	"FRMD4B"	7
"801"	"FRMD6_AS2"	11
"802"	"FRZB"	8
"803"	"FST"	18
"804"	"FSTL1"	7
"805"	"FTL"	4
"806"	"FUNDC2"	14
"807"	"FXYD1"	13
"808"	"FXYD3"	6
"809"	"FXYD5"	3
"810"	"FXYD6"	13
"811"	"FYN"	6
"812"	"FZD2"	18
"813"	"FZD8"	3
"814"	"G0S2"	1
"815"	"GABPB1_AS1"	18
"816"	"GABRA2"	4
"817"	"GABRE"	2
"818"	"GADD45A"	14
"819"	"GADD45B"	7
"820"	"GAL"	13
"821"	"GALE"	20
"822"	"GALNT10"	15
"823"	"GAP43"	11
"824"	"GAPDH"	6
"825"	"GAS1"	4
"826"	"GAS2"	4
"827"	"GAS2L3"	20
"828"	"GAS6"	20
"829"	"GATA3"	3
"830"	"GATA6"	3
"831"	"GBP1"	10
"832"	"GBP2"	19
"833"	"GCFC2"	4
"834"	"GCHFR"	20
"835"	"GCLM"	17
"836"	"GCNT2"	6
"837"	"GCSH"	20
"838"	"GDAP1L1"	1
"839"	"GDI1"	14
"840"	"GDNF"	18
"841"	"GEM"	20
"842"	"GFRA1"	11
"843"	"GGH"	13
"844"	"GGT5"	20
"845"	"GIGYF1"	7
"846"	"GINS2"	14
"847"	"GJA1"	12
"848"	"GLB1"	20
"849"	"GLCCI1"	2
"850"	"GLIPR1"	2
"851"	"GLIPR2"	13
"852"	"GLO1"	20
"853"	"GLRX"	3
"854"	"GLRX5"	2
"855"	"GLS"	20
"856"	"GLT8D2"	14
"857"	"GLTSCR2"	2
"858"	"GLUD1"	20
"859"	"GLUL"	7
"860"	"GLYCTK"	20
"861"	"GMFG"	1
"862"	"GNA11"	1
"863"	"GNAS"	4
"864"	"GNB2"	20
"865"	"GNB4"	14
"866"	"GNG11"	17
"867"	"GNG2"	13
"868"	"GNG3"	10
"869"	"GNG4"	20
"870"	"GNG5"	6
"871"	"GNG7"	16
"872"	"GNL2"	14
"873"	"GNL3"	5
"874"	"GOLIM4"	14
"875"	"GOLM1"	2
"876"	"GPAA1"	17
"877"	"GPBAR1"	10
"878"	"GPC1"	1
"879"	"GPC3"	8
"880"	"GPC4"	3
"881"	"GPC6"	18
"882"	"GPM6B"	6
"883"	"GPR183"	19
"884"	"GPR20"	5
"885"	"GPRC5B"	14
"886"	"GPSM3"	7
"887"	"GPX8"	7
"888"	"GRB14"	11
"889"	"GREM1"	1
"890"	"GREM2"	11
"891"	"GRIA4"	4
"892"	"GRK5"	20
"893"	"GRN"	1
