	"names"	"clusters"
"836"	"IFITM1"	20
"837"	"IFITM2"	11
"838"	"IFITM3"	11
"839"	"IFRD1"	1
"840"	"IGDCC3"	9
"841"	"IGDCC4"	20
"842"	"IGF1"	13
"843"	"IGF2"	6
"844"	"IGFBP2"	18
"845"	"IGFBP3"	11
"846"	"IGFBP4"	3
"847"	"IGFBP5"	8
"848"	"IGFBP6"	5
"849"	"IL11RA"	7
"850"	"IL17B"	15
"851"	"IL1R1"	3
"852"	"IL6ST"	12
"853"	"ILVBL"	1
"854"	"IMPACT"	20
"855"	"INA"	3
"856"	"INADL"	1
"857"	"INAFM2"	2
"858"	"INHBA"	5
"859"	"INIP"	9
"860"	"INPP1"	5
"861"	"IP6K2"	5
"862"	"IPO5"	7
"863"	"IQGAP2"	20
"864"	"IQGAP3"	13
"865"	"IRAK3"	5
"866"	"IRF1"	9
"867"	"IRF8"	7
"868"	"ISL2"	11
"869"	"ISLR"	20
"870"	"ISYNA1"	7
"871"	"ITGA1"	15
"872"	"ITGA4"	7
"873"	"ITGA8"	11
"874"	"ITGAE"	2
"875"	"ITGB1"	3
"876"	"ITM2A"	20
"877"	"ITPRIPL2"	5
"878"	"JAM3"	12
"879"	"JPH4"	1
"880"	"JUN"	7
"881"	"JUNB"	14
"882"	"JUND"	5
"883"	"KANK1"	1
"884"	"KANK2"	5
"885"	"KCND3"	2
"886"	"KCNE4"	7
"887"	"KCNE5"	11
"888"	"KCNH2"	2
"889"	"KCNIP4"	2
"890"	"KCNMA1"	2
"891"	"KCNMB1"	2
"892"	"KCNQ1OT1"	7
"893"	"KCNS3"	12
"894"	"KCP"	5
"895"	"KCTD12"	6
"896"	"KDELC1"	5
"897"	"KDELR2"	12
"898"	"KIAA0101"	9
"899"	"KIAA0586"	18
"900"	"KIAA1217"	2
"901"	"KIAA1524"	1
"902"	"KIAA1551"	7
"903"	"KIDINS220"	1
"904"	"KIF11"	1
"905"	"KIF14"	2
"906"	"KIF1B"	1
"907"	"KIF20B"	1
"908"	"KIF21A"	3
"909"	"KIF23"	16
"910"	"KIF26B"	7
"911"	"KIF2C"	16
"912"	"KIF4A"	1
"913"	"KIF5B"	16
"914"	"KIF5C"	3
"915"	"KIFC1"	5
"916"	"KIT"	19
"917"	"KITLG"	2
"918"	"KLC1"	2
"919"	"KLF3"	9
"920"	"KLF5"	3
"921"	"KLF6"	1
"922"	"KLF7"	2
"923"	"KLHDC3"	5
"924"	"KLHDC8B"	3
"925"	"KLHL13"	12
"926"	"KLHL42"	2
"927"	"KMT2A"	3
"928"	"KPNA2"	2
"929"	"KRT13"	2
"930"	"KRT17"	2
"931"	"KRT18"	17
"932"	"KRT19"	17
"933"	"KRT8"	17
"934"	"L1CAM"	1
"935"	"L1TD1"	11
"936"	"LAMA4"	20
