	"names"	"clusters"
"878"	"CREB3"	16
"879"	"CREB3L1"	8
"880"	"CREB3L3"	12
"881"	"CREBL2"	13
"882"	"CRELD1"	4
"883"	"CRELD2"	19
"884"	"CRIM1"	4
"885"	"CRIP1"	18
"886"	"CRIP2"	16
"887"	"CRK"	9
"888"	"CRLF3"	5
"889"	"CRMP1"	9
"890"	"CRNDE"	16
"891"	"CROT"	13
"892"	"CRTAP"	5
"893"	"CRTC2"	16
"894"	"CRYAB"	1
"895"	"CRYGD"	19
"896"	"CRYL1"	19
"897"	"CRYM"	8
"898"	"CRYZL1"	4
"899"	"CSAD"	4
"900"	"CSDE1"	9
"901"	"CSF3R"	4
"902"	"CSK"	1
"903"	"CSNK1A1"	9
"904"	"CSNK1E"	9
"905"	"CSRP1"	14
"906"	"CSRP2"	8
"907"	"CST1"	8
"908"	"CST3"	8
"909"	"CTA_292E10_6"	3
"910"	"CTBP2"	3
"911"	"CTB_171A8_1"	7
"912"	"CTB_50L17_10"	9
"913"	"CTC_425F1_4"	9
"914"	"CTDSP1"	16
"915"	"CTDSP2"	4
"916"	"CTDSPL"	9
"917"	"CTD_3080P12_3"	19
"918"	"CTD_3252C9_4"	8
"919"	"CTF1"	5
"920"	"CTGF"	10
"921"	"CTHRC1"	4
"922"	"CTNNB1"	16
"923"	"CTNNBIP1"	9
"924"	"CTNND2"	13
"925"	"CTSA"	12
"926"	"CTSC"	12
"927"	"CTSD"	19
"928"	"CTSF"	4
"929"	"CTSH"	7
"930"	"CTSL"	19
"931"	"CTSS"	5
"932"	"CTSV"	19
"933"	"CTSZ"	3
"934"	"CTTN"	3
"935"	"CTTNBP2NL"	4
"936"	"CTU1"	16
"937"	"CTU2"	19
"938"	"CTXN1"	4
"939"	"CUBN"	19
"940"	"CUEDC1"	9
"941"	"CUEDC2"	16
"942"	"CUL3"	4
"943"	"CXADR"	5
"944"	"CXCL12"	4
"945"	"CXCL16"	19
"946"	"CXCL2"	9
"947"	"CXCL3"	8
"948"	"CXXC4"	19
"949"	"CYB561"	9
"950"	"CYB561A3"	5
"951"	"CYB5A"	4
"952"	"CYB5B"	4
"953"	"CYC1"	12
"954"	"CYCS"	12
"955"	"CYLD"	4
"956"	"CYP27A1"	13
"957"	"CYP2C18"	11
"958"	"CYP2W1"	8
"959"	"CYR61"	10
"960"	"CYSTM1"	12
"961"	"CYTH2"	4
"962"	"CYTH3"	13
"963"	"CYYR1"	4
"964"	"DAAM1"	9
"965"	"DAB1"	19
"966"	"DAB2"	19
"967"	"DAB2IP"	9
"968"	"DACH1"	12
"969"	"DAG1"	16
"970"	"DAPK1"	4
"971"	"DAPK2"	5
"972"	"DAPK3"	16
"973"	"DBI"	13
"974"	"DBN1"	4
"975"	"DBNDD1"	13
"976"	"DBP"	16
"977"	"DCAF6"	9
"978"	"DCBLD2"	9
"979"	"DCLRE1C"	9
"980"	"DCN"	3
"981"	"DCP2"	5
"982"	"DCTN1"	16
"983"	"DCTN2"	4
"984"	"DCTN3"	9
"985"	"DCTPP1"	14
"986"	"DDAH2"	8
"987"	"DDC"	19
"988"	"DDIT3"	13
"989"	"DDIT4"	8
"990"	"DDR1"	9
"991"	"DDX24"	16
"992"	"DDX26B"	4
"993"	"DDX39B"	9
"994"	"DDX3X"	16
"995"	"DDX46"	5
"996"	"DDX5"	4
"997"	"DDX52"	16
"998"	"DDX6"	9
"999"	"DDX60L"	13
